outer_repeat	clinical_auc	combined_auc	combined_minus_clinical_auc
1	0.702012595837897	0.7004381161007667	-0.0015744797371303187
2	0.7085158817086528	0.6909456005841548	-0.01757028112449799
3	0.6842369477911646	0.6761135450894487	-0.008123402701715965
4	0.6833470244614823	0.6827081051478642	-0.000638919313618147
5	0.705754837531946	0.7001186564439577	-0.005636181087988357
6	0.7056179262504564	0.7006206644760862	-0.00499726177437021
7	0.6890516611902154	0.6964676889375685	0.00741602774735306
8	0.6877510040160643	0.6806316173786053	-0.007119386637458924
9	0.6768893756845564	0.6649780941949617	-0.01191128148959475
10	0.6961254107338445	0.6907630522088354	-0.005362358525009103
