analysis_order	analysis_key	analysis_label	analysis_detail	participants	metric_order	metric	estimate	lower_95	upper_95	interval_excludes_zero	analysis_class	positive_value_interpretation	bootstrap_replicates	source_record	source_stage
1	primary_elastic_net	Primary Elastic Net	Comprehensive clinical comparator	430	1	AUC	-0.00555175246440307	-0.011261124041621	0.000358308232931726	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
1	primary_elastic_net	Primary Elastic Net	Comprehensive clinical comparator	430	2	Brier score	-0.00128289244787926	-0.00307040900132819	0.000555958542866695	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
1	primary_elastic_net	Primary Elastic Net	Comprehensive clinical comparator	430	3	Log loss	-0.00239331648791199	-0.0067537999891963	0.00224016279624752	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
2	orientation_primary	Orientation sensitivity - primary	Primary comparator; 953 flagged variant weights set to zero	430	1	AUC	-0.00456827309236948	-0.00992167533771451	0.00110675657174151	FALSE	orientation_sensitivity	Favours addition of PRS	10000	primary_paired_bootstrap_summary.tsv	orientation_sensitivity_primary
2	orientation_primary	Orientation sensitivity - primary	Primary comparator; 953 flagged variant weights set to zero	430	2	Brier score	-0.00120244161348253	-0.00290313314880318	0.000590909006679253	FALSE	orientation_sensitivity	Favours addition of PRS	10000	primary_paired_bootstrap_summary.tsv	orientation_sensitivity_primary
2	orientation_primary	Orientation sensitivity - primary	Primary comparator; 953 flagged variant weights set to zero	430	3	Log loss	-0.00327811143326177	-0.00736151735442866	0.00104552862850998	FALSE	orientation_sensitivity	Favours addition of PRS	10000	primary_paired_bootstrap_summary.tsv	orientation_sensitivity_primary
3	strict_eur	Strict EUR subset	Primary Elastic Net restricted to model-based EUR	418	1	AUC	-0.00808979552469137	-0.0130378930362655	-0.00332019193672839	TRUE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
3	strict_eur	Strict EUR subset	Primary Elastic Net restricted to model-based EUR	418	2	Brier score	-0.00252670912018364	-0.00403124951715391	-0.00106501714198089	TRUE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
3	strict_eur	Strict EUR subset	Primary Elastic Net restricted to model-based EUR	418	3	Log loss	-0.00631799370291327	-0.00985950761753606	-0.00280800558696165	TRUE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
4	prs_focused	PRS-focused comparator	Treatment code + six ancestry PCs	430	1	AUC	-0.0157356699525374	-0.0363208515881709	0.00510907265425338	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
4	prs_focused	PRS-focused comparator	Treatment code + six ancestry PCs	430	2	Brier score	-0.00232157707814271	-0.00465692681934656	4.6613750617846e-05	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
4	prs_focused	PRS-focused comparator	Treatment code + six ancestry PCs	430	3	Log loss	-0.00508917901107451	-0.0101588087711176	-4.43122265767747e-05	TRUE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
5	summary_predictor	Summary-predictor comparator	46 summary clinical predictors + six ancestry PCs	430	1	AUC	-0.0100150602409639	-0.0202562522818547	0.000189736217597664	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
5	summary_predictor	Summary-predictor comparator	46 summary clinical predictors + six ancestry PCs	430	2	Brier score	-0.0022397230626092	-0.00626527368097987	0.00186422556098099	FALSE	primary_analysis	Favours addition of PRS	10000	figure_04_base_robustness_increments.tsv	primary_robustness_analysis
