chromosome	matched_variants	retained_variants	excluded_eur_frequency_ties	retention_percentage	participants	genotype_comparisons	genotype_mismatches	roundtrip_pass
1	12212	12205	7	99.94267933180478	430	5248150	0	TRUE
2	12088	12084	4	99.9669093315685	430	5196120	0	TRUE
3	9571	9564	7	99.92686239682374	430	4112520	0	TRUE
4	8398	8392	6	99.9285544177185	430	3608560	0	TRUE
5	8645	8641	4	99.95373048004627	430	3715630	0	TRUE
6	8766	8763	3	99.96577686516085	430	3768090	0	TRUE
7	8079	8073	6	99.92573338284441	430	3471390	0	TRUE
8	7390	7389	1	99.98646820027064	430	3177270	0	TRUE
9	7233	7227	6	99.9170468685193	430	3107610	0	TRUE
10	7666	7661	5	99.93477693712497	430	3294230	0	TRUE
11	7693	7688	5	99.93500584947354	430	3305840	0	TRUE
12	7510	7509	1	99.9866844207723	430	3228870	0	TRUE
13	5831	5830	1	99.98285028297033	430	2506900	0	TRUE
14	5158	5157	1	99.98061264055836	430	2217510	0	TRUE
15	4872	4871	1	99.97947454844007	430	2094530	0	TRUE
16	4904	4903	1	99.97960848287113	430	2108290	0	TRUE
17	4518	4516	2	99.95573262505533	430	1941880	0	TRUE
18	4702	4701	1	99.97873245427478	430	2021430	0	TRUE
19	3009	3006	3	99.90029910269192	430	1292580	0	TRUE
20	4247	4246	1	99.97645396750647	430	1825780	0	TRUE
21	2372	2370	2	99.91568296795953	430	1019100	0	TRUE
22	2574	2574	0	100.0	430	1106820	0	TRUE
