row_order	row_trait	column_order	column_trait	pearson_r
1	MDD	1	MDD	1.0
1	MDD	2	ANX	0.444443895393558
1	MDD	3	BIP	0.209608039571699
1	MDD	4	SCZ	0.256087209119636
1	MDD	5	NEUR	0.331007142346434
1	MDD	6	INSOM	0.261884528657859
1	MDD	7	SWB	-0.189407891217161
1	MDD	8	EA	-0.20022092026734
2	ANX	1	MDD	0.444443895393558
2	ANX	2	ANX	1.0
2	ANX	3	BIP	0.202627950032353
2	ANX	4	SCZ	0.357747439818619
2	ANX	5	NEUR	0.326767989058377
2	ANX	6	INSOM	0.0396054635642518
2	ANX	7	SWB	-0.102815662048643
2	ANX	8	EA	-0.0909658012774868
3	BIP	1	MDD	0.209608039571699
3	BIP	2	ANX	0.202627950032353
3	BIP	3	BIP	1.0
3	BIP	4	SCZ	0.412507033674093
3	BIP	5	NEUR	0.143393618032267
3	BIP	6	INSOM	0.058196535922445
3	BIP	7	SWB	-0.139386427016429
3	BIP	8	EA	0.00864578964319985
4	SCZ	1	MDD	0.256087209119636
4	SCZ	2	ANX	0.357747439818619
4	SCZ	3	BIP	0.412507033674093
4	SCZ	4	SCZ	1.0
4	SCZ	5	NEUR	0.197698149192116
4	SCZ	6	INSOM	0.0235961044096335
4	SCZ	7	SWB	-0.17485786462208
4	SCZ	8	EA	-0.0387591463938566
5	NEUR	1	MDD	0.331007142346434
5	NEUR	2	ANX	0.326767989058377
5	NEUR	3	BIP	0.143393618032267
5	NEUR	4	SCZ	0.197698149192116
5	NEUR	5	NEUR	1.0
5	NEUR	6	INSOM	0.141287863170712
5	NEUR	7	SWB	-0.126472450006873
5	NEUR	8	EA	-0.109277222334107
6	INSOM	1	MDD	0.261884528657859
6	INSOM	2	ANX	0.0396054635642518
6	INSOM	3	BIP	0.058196535922445
6	INSOM	4	SCZ	0.0235961044096335
6	INSOM	5	NEUR	0.141287863170712
6	INSOM	6	INSOM	1.0
6	INSOM	7	SWB	-0.0575036297804328
6	INSOM	8	EA	-0.131192777466928
7	SWB	1	MDD	-0.189407891217161
7	SWB	2	ANX	-0.102815662048643
7	SWB	3	BIP	-0.139386427016429
7	SWB	4	SCZ	-0.17485786462208
7	SWB	5	NEUR	-0.126472450006873
7	SWB	6	INSOM	-0.0575036297804328
7	SWB	7	SWB	1.0
7	SWB	8	EA	0.102546065591135
8	EA	1	MDD	-0.20022092026734
8	EA	2	ANX	-0.0909658012774868
8	EA	3	BIP	0.00864578964319985
8	EA	4	SCZ	-0.0387591463938566
8	EA	5	NEUR	-0.109277222334107
8	EA	6	INSOM	-0.131192777466928
8	EA	7	SWB	0.102546065591135
8	EA	8	EA	1.0
