scenario_order	scenario_key	scenario_label	outer_repeat	participants	events	non_events	metric_order	metric	increment_value	positive_value_interpretation
1	primary	Primary	1	430	166	264	1	AUC	-0.0015744797371303187	Favours addition of PRS
1	primary	Primary	2	430	166	264	1	AUC	-0.01757028112449799	Favours addition of PRS
1	primary	Primary	3	430	166	264	1	AUC	-0.008123402701715965	Favours addition of PRS
1	primary	Primary	4	430	166	264	1	AUC	-0.000638919313618147	Favours addition of PRS
1	primary	Primary	5	430	166	264	1	AUC	-0.005636181087988357	Favours addition of PRS
1	primary	Primary	6	430	166	264	1	AUC	-0.00499726177437021	Favours addition of PRS
1	primary	Primary	7	430	166	264	1	AUC	0.00741602774735306	Favours addition of PRS
1	primary	Primary	8	430	166	264	1	AUC	-0.007119386637458924	Favours addition of PRS
1	primary	Primary	9	430	166	264	1	AUC	-0.01191128148959475	Favours addition of PRS
1	primary	Primary	10	430	166	264	1	AUC	-0.005362358525009103	Favours addition of PRS
2	strict_eur	Strict EUR	1	418	162	256	1	AUC	-0.008921682098765427	Favours addition of PRS
2	strict_eur	Strict EUR	2	418	162	256	1	AUC	-0.00542534722222221	Favours addition of PRS
2	strict_eur	Strict EUR	3	418	162	256	1	AUC	-0.011911651234567944	Favours addition of PRS
2	strict_eur	Strict EUR	4	418	162	256	1	AUC	-0.0032069830246913567	Favours addition of PRS
2	strict_eur	Strict EUR	5	418	162	256	1	AUC	-0.00889756944444442	Favours addition of PRS
2	strict_eur	Strict EUR	6	418	162	256	1	AUC	-0.0012779706790123635	Favours addition of PRS
2	strict_eur	Strict EUR	7	418	162	256	1	AUC	-0.013189621913580307	Favours addition of PRS
2	strict_eur	Strict EUR	8	418	162	256	1	AUC	-0.013575424382716084	Favours addition of PRS
2	strict_eur	Strict EUR	9	418	162	256	1	AUC	-0.0027729552469135665	Favours addition of PRS
2	strict_eur	Strict EUR	10	418	162	256	1	AUC	-0.01171875	Favours addition of PRS
3	prs_focused	PRS-focused	1	430	166	264	1	AUC	-0.020376962395034615	Favours addition of PRS
3	prs_focused	PRS-focused	2	430	166	264	1	AUC	-0.039681453085067486	Favours addition of PRS
3	prs_focused	PRS-focused	3	430	166	264	1	AUC	-0.01766155531215774	Favours addition of PRS
3	prs_focused	PRS-focused	4	430	166	264	1	AUC	-0.009446878422782023	Favours addition of PRS
3	prs_focused	PRS-focused	5	430	166	264	1	AUC	-2.2818546914937787e-05	Favours addition of PRS
3	prs_focused	PRS-focused	6	430	166	264	1	AUC	-0.015470974808324267	Favours addition of PRS
3	prs_focused	PRS-focused	7	430	166	264	1	AUC	-0.01633807959109168	Favours addition of PRS
3	prs_focused	PRS-focused	8	430	166	264	1	AUC	-0.0055449069003286056	Favours addition of PRS
3	prs_focused	PRS-focused	9	430	166	264	1	AUC	0.0031489594742606375	Favours addition of PRS
3	prs_focused	PRS-focused	10	430	166	264	1	AUC	-0.03596202993793357	Favours addition of PRS
4	summary	Summary	1	430	166	264	1	AUC	-0.013964950711938595	Favours addition of PRS
4	summary	Summary	2	430	166	264	1	AUC	-0.004609346476816434	Favours addition of PRS
4	summary	Summary	3	430	166	264	1	AUC	-0.010222709017889797	Favours addition of PRS
4	summary	Summary	4	430	166	264	1	AUC	-0.012322015334063519	Favours addition of PRS
4	summary	Summary	5	430	166	264	1	AUC	-0.01948703906535232	Favours addition of PRS
4	summary	Summary	6	430	166	264	1	AUC	0.004632165023731316	Favours addition of PRS
4	summary	Summary	7	430	166	264	1	AUC	-0.008283132530120474	Favours addition of PRS
4	summary	Summary	8	430	166	264	1	AUC	-0.0041073384446879135	Favours addition of PRS
4	summary	Summary	9	430	166	264	1	AUC	-0.019281672143117934	Favours addition of PRS
4	summary	Summary	10	430	166	264	1	AUC	-0.01250456370938302	Favours addition of PRS
5	rf	RF	1	430	166	264	1	AUC	0.0013006571741511763	Favours addition of PRS
