model_order	model_key	model_label	alpha_order	selected_alpha	outer_fit_count	outer_fit_proportion	is_ridge	source_key	source_model
1	primary_clinical	Primary EN: clinical	1	0.0	71	0.71	TRUE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	2	0.1	4	0.04	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	3	0.2	1	0.01	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	4	0.3	3	0.03	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	5	0.4	3	0.03	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	6	0.5	3	0.03	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	7	0.6	1	0.01	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	8	0.7	0	0.0	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	9	0.8	2	0.02	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	10	0.9	2	0.02	FALSE	primary	primary_comprehensive_clinical
1	primary_clinical	Primary EN: clinical	11	1.0	10	0.1	FALSE	primary	primary_comprehensive_clinical
2	primary_combined	Primary EN: clinical + PRS	1	0.0	53	0.53	TRUE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	2	0.1	10	0.1	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	3	0.2	2	0.02	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	4	0.3	1	0.01	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	5	0.4	2	0.02	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	6	0.5	3	0.03	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	7	0.6	3	0.03	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	8	0.7	4	0.04	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	9	0.8	4	0.04	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	10	0.9	9	0.09	FALSE	primary	primary_comprehensive_combined
2	primary_combined	Primary EN: clinical + PRS	11	1.0	9	0.09	FALSE	primary	primary_comprehensive_combined
3	strict_eur_clinical	Strict EUR EN: clinical	1	0.0	58	0.58	TRUE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	2	0.1	4	0.04	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	3	0.2	2	0.02	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	4	0.3	3	0.03	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	5	0.4	0	0.0	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	6	0.5	2	0.02	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	7	0.6	4	0.04	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	8	0.7	4	0.04	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	9	0.8	4	0.04	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	10	0.9	6	0.06	FALSE	strict_eur	primary_comprehensive_clinical
3	strict_eur_clinical	Strict EUR EN: clinical	11	1.0	13	0.13	FALSE	strict_eur	primary_comprehensive_clinical
4	strict_eur_combined	Strict EUR EN: clinical + PRS	1	0.0	43	0.43	TRUE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	2	0.1	4	0.04	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	3	0.2	3	0.03	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	4	0.3	3	0.03	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	5	0.4	1	0.01	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	6	0.5	5	0.05	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	7	0.6	4	0.04	FALSE	strict_eur	primary_comprehensive_combined
4	strict_eur_combined	Strict EUR EN: clinical + PRS	8	0.7	2	0.02	FALSE	strict_eur	primary_comprehensive_combined
