trait_order	trait	metric_order	metric	source_metric	participants	outer_repetitions	point_estimate	bootstrap_standard_error	lower_95	upper_95	interval_excludes_zero	highlight_trait	positive_value_interpretation	bootstrap_positive_proportion	bootstrap_negative_proportion	bootstrap_zero_proportion	bootstrap_replicates
1	MDD	1	AUC	AUC_difference	430	10	-0.00674744432274555	0.00716143670625127	-0.0207880385177072	0.00727455275648044	FALSE	FALSE	Favours individual PRS	0.1735	0.8265	0.0	10000
2	ANX	1	AUC	AUC_difference	430	10	-0.00512504563709383	0.0102695339987569	-0.0255294473347937	0.0148391292442497	FALSE	FALSE	Favours individual PRS	0.3084	0.6916	0.0	10000
3	BIP	1	AUC	AUC_difference	430	10	0.00151515151515151	0.010339785119002	-0.0186656854691493	0.0218149872216137	FALSE	FALSE	Favours individual PRS	0.5692	0.4308	0.0	10000
4	SCZ	1	AUC	AUC_difference	430	10	0.0117104782767433	0.0172979140268206	-0.0224088399050748	0.0463995755750274	FALSE	FALSE	Favours individual PRS	0.7579	0.2421	0.0	10000
5	NEUR	1	AUC	AUC_difference	430	10	-0.00882621394669589	0.00693134947325295	-0.0227696581781672	0.00467831553486673	FALSE	FALSE	Favours individual PRS	0.0997	0.9003	0.0	10000
6	INSOM	1	AUC	AUC_difference	430	10	-0.000335432639649519	0.00749403706476778	-0.0151201966958744	0.0142118473895582	FALSE	FALSE	Favours individual PRS	0.4663	0.5337	0.0	10000
7	SWB	1	AUC	AUC_difference	430	10	-0.0104257940854326	0.00188803014311528	-0.0142047165936473	-0.00680648731288792	TRUE	TRUE	Favours individual PRS	0.0	1.0	0.0	10000
8	EA	1	AUC	AUC_difference	430	10	0.0126779846659365	0.0171461759297204	-0.0210045294815626	0.0458758328769624	FALSE	FALSE	Favours individual PRS	0.7676	0.2324	0.0	10000
1	MDD	2	Brier	Brier_improvement	430	10	-0.00111156004199455	0.000788357853832665	-0.00265178754067428	0.000408109379901054	FALSE	FALSE	Favours individual PRS	0.0763	0.9237	0.0	10000
2	ANX	2	Brier	Brier_improvement	430	10	-0.00016778594843993	0.00107456415133565	-0.00226428213368777	0.00195811600696144	FALSE	FALSE	Favours individual PRS	0.4386	0.5614	0.0	10000
3	BIP	2	Brier	Brier_improvement	430	10	-0.000613011507127381	0.00112493545452359	-0.00281228380294382	0.00157822350874789	FALSE	FALSE	Favours individual PRS	0.2986	0.7014	0.0	10000
4	SCZ	2	Brier	Brier_improvement	430	10	0.00073752556454493	0.00208315294572777	-0.00328582068016879	0.00481616639781753	FALSE	FALSE	Favours individual PRS	0.6447	0.3553	0.0	10000
5	NEUR	2	Brier	Brier_improvement	430	10	-0.000836246230036894	0.000735989707471183	-0.00227729733903155	0.000594488662357063	FALSE	FALSE	Favours individual PRS	0.1281	0.8719	0.0	10000
6	INSOM	2	Brier	Brier_improvement	430	10	-0.000958529021119073	0.000832222745418148	-0.00265350973761829	0.000647594614468628	FALSE	FALSE	Favours individual PRS	0.1194	0.8806	0.0	10000
7	SWB	2	Brier	Brier_improvement	430	10	-0.00112824287361684	0.000188593153450412	-0.00150667931787372	-0.000772260752676612	TRUE	TRUE	Favours individual PRS	0.0	1.0	0.0	10000
8	EA	2	Brier	Brier_improvement	430	10	0.000302842694534491	0.00210586187239169	-0.00387089376569822	0.00434153675670056	FALSE	FALSE	Favours individual PRS	0.5546	0.4454	0.0	10000
1	MDD	3	Log loss	log_loss_improvement	430	10	-0.00227921146079593	0.00168157241424951	-0.00556328377755713	0.000970441876437234	FALSE	FALSE	Favours individual PRS	0.0836	0.9164	0.0	10000
2	ANX	3	Log loss	log_loss_improvement	430	10	-0.00028032610255313	0.00231959290705702	-0.00480832177594099	0.00432695737498553	FALSE	FALSE	Favours individual PRS	0.4522	0.5478	0.0	10000
3	BIP	3	Log loss	log_loss_improvement	430	10	-0.00156337052193747	0.00242982809995666	-0.00632731910147641	0.00316532313041844	FALSE	FALSE	Favours individual PRS	0.2638	0.7362	0.0	10000
4	SCZ	3	Log loss	log_loss_improvement	430	10	0.00165427529215454	0.00447215202615526	-0.00699288172930547	0.0104548416019854	FALSE	FALSE	Favours individual PRS	0.6495	0.3505	0.0	10000
5	NEUR	3	Log loss	log_loss_improvement	430	10	-0.00177222406631687	0.00156891226398285	-0.00486563188989753	0.00127689305536136	FALSE	FALSE	Favours individual PRS	0.1288	0.8712	0.0	10000
6	INSOM	3	Log loss	log_loss_improvement	430	10	-0.00212523199302455	0.00179831866545839	-0.00578334251656673	0.00133310455529662	FALSE	FALSE	Favours individual PRS	0.1149	0.8851	0.0	10000
7	SWB	3	Log loss	log_loss_improvement	430	10	-0.0024122043700036	0.000399860814895586	-0.00321062840717253	-0.00165847713947197	TRUE	TRUE	Favours individual PRS	0.0	1.0	0.0	10000
8	EA	3	Log loss	log_loss_improvement	430	10	0.000808409419200362	0.00460432399842491	-0.00832261929169876	0.00962287396799621	FALSE	FALSE	Favours individual PRS	0.5668	0.4332	0.0	10000
