outer_repeat	outer_fold	selected_alpha	selected_lambda	nonzero_PRS_predictors	fit_id	sparse_fit
1	1	0.0	0.419425010313919	8	R01F01	False
1	2	1.0	0.0367776200736045	0	R01F02	True
1	3	0.1	0.144924804306539	2	R01F03	True
1	4	0.0	0.761693989857824	8	R01F04	False
1	5	1.0	0.0180990553744494	1	R01F05	True
1	6	0.5	0.0750942705021912	0	R01F06	True
1	7	0.0	0.38047223052032	8	R01F07	False
1	8	0.0	0.437879719018541	8	R01F08	False
1	9	0.0	0.757719065285455	8	R01F09	False
1	10	0.0	0.491677462233686	8	R01F10	False
2	1	0.0	0.382238824863187	8	R02F01	False
2	2	1.0	0.0227461298745526	2	R02F02	True
2	3	0.0	0.52518807361395	8	R02F03	False
2	4	0.0	0.756820643533676	8	R02F04	False
2	5	0.1	0.141423756812904	2	R02F05	True
2	6	0.1	0.116724700073325	3	R02F06	True
2	7	0.0	0.223362627258397	8	R02F07	False
2	8	0.0	0.217224099112928	8	R02F08	False
2	9	0.9	0.0248959177690284	1	R02F09	True
2	10	0.1	0.122684832415304	3	R02F10	True
3	1	0.5	0.055207557094053	1	R03F01	True
3	2	0.1	0.135085803617761	3	R03F02	True
3	3	0.4	0.0546001791997016	1	R03F03	True
3	4	0.1	0.107049251193619	2	R03F04	True
3	5	0.0	0.584975336698826	8	R03F05	False
3	6	0.1	0.117743957614286	3	R03F06	True
3	7	0.0	0.213254265591736	8	R03F07	False
3	8	0.0	0.291598099211494	8	R03F08	False
3	9	0.0	1.17518582631	8	R03F09	False
3	10	0.0	0.40123806486587	8	R03F10	False
4	1	1.0	0.0295504321261795	1	R04F01	True
4	2	1.0	0.0242621415376999	0	R04F02	True
4	3	0.0	0.223658056648279	8	R04F03	False
4	4	0.0	0.251561680375567	8	R04F04	False
4	5	0.9	0.0257222964048513	1	R04F05	True
4	6	0.8	0.0452641491027849	0	R04F06	True
4	7	0.0	0.407672419803205	8	R04F07	False
4	8	0.0	0.560029394950012	8	R04F08	False
4	9	0.0	0.508213588496043	8	R04F09	False
4	10	0.2	0.0703513075648175	2	R04F10	True
5	1	0.0	0.398342771888551	8	R05F01	False
5	2	1.0	0.0335318195936138	0	R05F02	True
5	3	0.0	0.333550316684264	8	R05F03	False
5	4	0.1	0.126329003537837	2	R05F04	True
5	5	0.0	0.366531596919615	8	R05F05	False
5	6	0.9	0.0414051759589782	0	R05F06	True
5	7	0.6	0.035302843636302	1	R05F07	True
5	8	0.0	0.163009417826334	8	R05F08	False
5	9	0.0	0.389770278959598	8	R05F09	False
5	10	0.0	0.572446166305165	8	R05F10	False
6	1	0.9	0.0249604665820634	1	R06F01	True
6	2	0.0	0.386882879614192	8	R06F02	False
6	3	0.0	0.310705240155117	8	R06F03	False
6	4	0.0	0.456765460826754	8	R06F04	False
6	5	0.0	0.248526148427517	8	R06F05	False
6	6	0.0	0.373608785543604	8	R06F06	False
6	7	0.2	0.0759987399607617	1	R06F07	True
6	8	0.0	0.187965080922898	8	R06F08	False
6	9	0.7	0.0358528640587422	1	R06F09	True
6	10	0.9	0.0398478373996148	1	R06F10	True
7	1	0.0	0.242971682219681	8	R07F01	False
7	2	0.0	0.373756910209312	8	R07F02	False
7	3	0.8	0.0206732529920542	3	R07F03	True
7	4	0.8	0.0461956745592946	0	R07F04	True
7	5	0.9	0.0293027681654487	2	R07F05	True
7	6	0.9	0.0320645683956252	2	R07F06	True
7	7	0.0	0.539088514797856	8	R07F07	False
7	8	0.0	0.539063719730922	8	R07F08	False
7	9	0.7	0.0300885974350509	2	R07F09	True
7	10	0.0	0.138253063726858	8	R07F10	False
8	1	0.1	0.137949311373008	2	R08F01	True
8	2	0.0	0.23861702634586	8	R08F02	False
8	3	0.0	0.287344419816505	8	R08F03	False
8	4	0.0	0.259177269074411	8	R08F04	False
8	5	0.6	0.0444904321326681	1	R08F05	True
8	6	0.8	0.037091014827269	1	R08F06	True
8	7	0.9	0.0165382670488844	3	R08F07	True
8	8	0.0	0.379164369588026	8	R08F08	False
8	9	0.0	0.31461066914177	8	R08F09	False
8	10	0.9	0.0204972399902107	2	R08F10	True
9	1	1.0	0.0157669384465797	2	R09F01	True
9	2	0.7	0.033145526606697	1	R09F02	True
9	3	0.0	0.228376430640155	8	R09F03	False
9	4	1.0	0.0223941291760629	1	R09F04	True
9	5	1.0	0.0366985584856538	0	R09F05	True
9	6	0.3	0.0441677489282902	3	R09F06	True
9	7	0.0	0.371403360458469	8	R09F07	False
9	8	0.6	0.02478554826483	2	R09F08	True
9	9	0.0	0.552160978470685	8	R09F09	False
9	10	0.7	0.0447226946244198	0	R09F10	True
10	1	0.0	0.392944859203427	8	R10F01	False
10	2	0.0	0.346130831588528	8	R10F02	False
10	3	0.0	0.669289570403408	8	R10F03	False
10	4	0.1	0.141219545190212	2	R10F04	True
10	5	0.5	0.0442250784181947	2	R10F05	True
10	6	0.0	0.116085043439006	8	R10F06	False
10	7	0.0	0.467744428768782	8	R10F07	False
10	8	0.0	0.716438424121979	8	R10F08	False
10	9	0.0	0.454657925295612	8	R10F09	False
10	10	0.4	0.0394874450362201	2	R10F10	True
