outer_repeat	outer_fold	fit_id	term	coefficient	nonzero	coefficient_sign	selected_alpha	selected_lambda	sparse_fit
1	1	R01F01	ANX	-0.0018325190502518	True	negative	0.0	0.419425010313919	False
1	1	R01F01	BIP	-0.0126967591057694	True	negative	0.0	0.419425010313919	False
1	1	R01F01	EA	0.0382071038749262	True	positive	0.0	0.419425010313919	False
1	1	R01F01	INSOM	0.0078699499849547	True	positive	0.0	0.419425010313919	False
1	1	R01F01	MDD	0.0024611673076945	True	positive	0.0	0.419425010313919	False
1	1	R01F01	NEUR	0.0062499080429663	True	positive	0.0	0.419425010313919	False
1	1	R01F01	SCZ	-0.0467080640181116	True	negative	0.0	0.419425010313919	False
1	1	R01F01	SWB	-0.0212286757945799	True	negative	0.0	0.419425010313919	False
1	2	R01F02	ANX	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	BIP	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	EA	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	INSOM	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	MDD	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	NEUR	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	SCZ	0.0	False	zero	1.0	0.0367776200736045	True
1	2	R01F02	SWB	0.0	False	zero	1.0	0.0367776200736045	True
1	3	R01F03	ANX	0.0	False	zero	0.1	0.144924804306539	True
1	3	R01F03	BIP	0.0	False	zero	0.1	0.144924804306539	True
1	3	R01F03	EA	0.0516535527016374	True	positive	0.1	0.144924804306539	True
1	3	R01F03	INSOM	0.0	False	zero	0.1	0.144924804306539	True
1	3	R01F03	MDD	0.0	False	zero	0.1	0.144924804306539	True
1	3	R01F03	NEUR	0.0	False	zero	0.1	0.144924804306539	True
1	3	R01F03	SCZ	-0.0164933257813233	True	negative	0.1	0.144924804306539	True
1	3	R01F03	SWB	0.0	False	zero	0.1	0.144924804306539	True
1	4	R01F04	ANX	0.0051372769438587	True	positive	0.0	0.761693989857824	False
1	4	R01F04	BIP	-0.0166469713545004	True	negative	0.0	0.761693989857824	False
1	4	R01F04	EA	0.0281871320151005	True	positive	0.0	0.761693989857824	False
1	4	R01F04	INSOM	0.0020464552445615	True	positive	0.0	0.761693989857824	False
1	4	R01F04	MDD	-0.005973346381908	True	negative	0.0	0.761693989857824	False
1	4	R01F04	NEUR	-0.0079991573104215	True	negative	0.0	0.761693989857824	False
1	4	R01F04	SCZ	-0.033386678246477	True	negative	0.0	0.761693989857824	False
1	4	R01F04	SWB	-0.0051282823101051	True	negative	0.0	0.761693989857824	False
1	5	R01F05	ANX	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	BIP	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	EA	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	INSOM	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	MDD	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	NEUR	0.0	False	zero	1.0	0.0180990553744494	True
1	5	R01F05	SCZ	-0.118186444815055	True	negative	1.0	0.0180990553744494	True
1	5	R01F05	SWB	0.0	False	zero	1.0	0.0180990553744494	True
1	6	R01F06	ANX	0.0	False	zero	0.5	0.0750942705021912	True
